Model,Training Accuracy,Testing Accuracy
Decision Tree,1.0,0.6991869918699187
Random Forest,1.0,0.7723577235772358
KNN,0.7372708757637475,0.5853658536585366
XGBoost,1.0,0.7560975609756098
